Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,Time,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,HTWinner,HTWinningMargin,FTWinner,FTWinningMargin,TotalMatchPoints,TotalMatchGoals
2012,1,24/03/2012,24,12.2,0,Stadium Australia,7:20 PM,"38,203",GWS Giants,1.2,3.3,3.4,5.7,37,Sydney Swans,4.1,8.4,13.8,14.16,100,Sydney,31,Sydney,63,137,19
2012,1,29/03/2012,25.7,9.7,0,M.C.G.,7:45 PM,"78,285",Richmond,3.4,5.6,10.7,12.9,81,Carlton,3.2,8.7,11.13,18.17,125,Carlton,19,Carlton,44,206,30
2012,1,30/03/2012,27.4,9.7,0,M.C.G.,7:50 PM,"78,466",Hawthorn,2.1,10.6,14.1,20.17,137,Collingwood,2.7,7.9,12.16,16.19,115,Hawthorn,15,Hawthorn,22,252,36
2012,1,31/03/2012,29.1,15.1,0.6,M.C.G.,1:45 PM,"33,473",Melbourne,3.3,7.4,8.8,11.12,78,Brisbane Lions,1.4,7.8,13.13,17.17,119,Brisbane Lions,4,Brisbane Lions,41,197,28
2012,1,31/03/2012,28.2,19.7,0,Carrara,3:45 PM,"12,790",Gold Coast Suns,3.1,5.3,8.6,10.8,68,Adelaide Crows,7.8,11.1,15.16,19.23,137,Adelaide,34,Adelaide,69,205,29
2012,1,31/03/2012,24,9,0,Subiaco,4:45 PM,"34,601",Fremantle,6,8.3,12.8,16.9,105,Geelong Cats,4,9.2,12.7,15.11,101,Geelong,5,Fremantle,4,206,31
2012,1,31/03/2012,29.1,15.1,0.6,Docklands,7:45 PM,"45,818",North Melbourne,4.3,8.5,10.1,15.12,102,Essendon,3.2,9.8,13.14,14.2,104,Essendon,9,Essendon,2,206,29
2012,1,1/04/2012,20.4,14.3,0,Docklands,1:10 PM,"24,977",Western Bulldogs,4.3,8.5,10.11,12.15,87,West Coast Eagles,6.2,10.6,16.9,21.1,136,West Coast,13,West Coast,49,223,33
2012,1,1/04/2012,24.3,11.8,0,Football Park,4:10 PM,"21,179",Port Adelaide,5.2,8.6,11.9,13.11,89,St Kilda,2.1,9.3,11.4,13.7,85,St Kilda,3,Port Adelaide,4,174,26
2012,2,5/04/2012,28.4,17.9,0,Gabba,7:40 PM,"25,913",Brisbane Lions,6.1,7.6,7.7,9.9,63,Carlton,5.5,10.9,16.1,23.16,154,Carlton,21,Carlton,91,217,32
