Track Code,Race,No,Team 1,Odds,No,Team 2,Odds,Draw 3,
00,1,1,Brisbane Broncos, 2.40 ,2,Canterbury Bulldogs, 1.55 ,17,
00,2,1,Brisbane (+4.5), 1.90 ,2,Canterbury (-4.5), 1.90 ,,
00,3,1,Brisbane (1-12), 3.80 ,2,Canterbury (1-12), 3.00 ,,
00,,3,Brisbane (13+), 6.00 ,4,Canterbury (13+), 2.90 ,,
00,,5,Draw, 17.00 ,,,  ,,
00,,,1st Scoring Play,,,,,,
00,4,1,Brisbane Try, 2.10 ,2,Canterbury Try, 1.70 ,,
00,,3,Brisbane P Goal, 6.20 ,4,Canterbury P Goal, 4.90 ,,
00,,5,Brisbane F Goal, 51.00 ,6,Canterbury F Goal, 51.00 ,,
00,,,Half Time /Full Time Double,,,,,,
00,5,1,Brisbane / Brisbane, 3.50 ,2,Canterbury / Canterbury, 2.00 ,,
00,,3,Brisbane / Canterbury, 7.00 ,4,Canterbury/Brisbane, 9.50 ,,
00,,5,Brisbane / Draw, 34.00 ,6,Canterbury / Draw, 34.00 ,,
00,,7,Draw / Brisbane, 21.00 ,8,Draw / Canterbury, 15.00 ,,
00,,9,Draw / Draw, 67.00 ,,,  ,,
00,,,Half Time Winning Team & Winning Margin,,,,,,
00,6,1,Brisbane 1-4, 6.50 ,2,Canterbury 1-4, 5.75 ,,
00,,3,Brisbane 5-8, 7.25 ,4,Canterbury 5-8, 6.00 ,,
00,,5,Brisbane 9+, 5.75 ,6,Canterbury 9+, 3.25 ,,
00,,7,Draw at Half Time, 9.00 ,,,  ,,
00,,,Full Time Winning Team & Winning Margin (10pt),,,,,,
00,7,1,Brisbane 1-10, 3.90 ,2,Canterbury 1-10, 3.00 ,,
00,,3,Brisbane 11-20, 8.00 ,4,Canterbury 11-20, 4.10 ,,
00,,5,Brisbane 21-30, 20.00 ,6,Canterbury 21-30, 7.50 ,,
00,,7,Brisbane 31-40, 46.00 ,8,Canterbury 31-40, 17.00 ,,
00,,9,Brisbane 41-50, 81.00 ,10,Canterbury 41-50, 41.00 ,,
00,,11,Brisbane 51+, 101.00 ,12,Canterbury 51+, 76.00 ,,
00,,13,Draw, 17.00 ,,,  ,,
00,,,Total Match Points,,,,,,
00,8,1,Over 42.5, 2.00 ,2,Under 42.5, 1.80 ,,
00,,,Total Match Points (Scores of both teams added),,,,,,
00,9,1,0-10 Points, 56.00 ,2,11-20 Points, 15.00 ,,
00,,3,21-30 Points, 5.60 ,4,31-40 Points, 3.60 ,,
00,,5,41-50 Points, 3.15 ,6,51-60 Points, 4.30 ,,
00,,7,61-70 Points, 8.50 ,8,71+ Points, 15.00 ,,
00,,,Total Match Tries (Tries only),,,,,,
00,10,1,0-2 Tries, 51.00 ,2,3-4 Tries, 7.75 ,,
00,,3,5-6 Tries, 3.60 ,4,7-8 Tries, 2.80 ,,
00,,5,9-10 Tries, 3.90 ,6,11+ Tries, 6.50 ,,
,,,,,,,,,
Track Code,Race,No,Team 1, Odds ,No,Team 2, Odds ,Draw 3,
00,11,1,Sydney Roosters, 1.80 ,2,St. George Illawarra, 2.10 ,17,
00,12,1,Syd Roosters (-1.5), 1.90 ,2,St. George Ill (+1.5), 1.90 ,,
00,13,1,Syd Roosters (1-12), 3.20 ,2,St. George Ill (1-12), 3.50 ,,
00,,3,Syd Roosters (13+), 3.40 ,4,St. George Ill (13+), 4.50 ,,
00,,5,Draw, 17.00 ,,,  ,,
00,,,1st Scoring Play,,,,,,
00,14,1,Syd Roosters Try, 1.85 ,2,St. George Ill Try, 1.95 ,,
00,,3,Syd Roosters P Goal, 5.20 ,4,St. George Ill P Goal, 6.10 ,,
00,,5,Syd Roosters F Goal, 51.00 ,6,St. George Ill F Goal, 51.00 ,,
00,,,Half Time /Full Time Double,,,,,,
00,15,1,Syd Roosters /Syd Roosters, 2.40 ,2,St. George Ill / St. George Ill, 2.90 ,,
00,,3,Syd Roosters /St. George Ill, 8.50 ,4,St. George Ill/Syd Roosters, 7.50 ,,
00,,5,Syd Roosters / Draw, 34.00 ,6,St. George Ill / Draw, 34.00 ,,
00,,7,Draw / Syd Roosters, 15.00 ,8,Draw / St. George Ill, 17.00 ,,
00,,9,Draw / Draw, 67.00 ,,,  ,,
00,,,Half Time Winning Team & Winning Margin,,,,,,
